id|district
TG001|ADILABAD
MP051|AGAR  MALWA
UP001|AGRA
MH001|AHMADNAGAR
GJ001|AHMEDABAD
MZ001|AIZAWL
RJ001|AJMER
MH002|AKOLA
KL001|ALAPPUZHA
UP002|ALIGARH
WB020|ALIPURDUAR
MP050|ALIRAJPUR
UP003|ALLAHABAD
AP026|ALLURI SEETHARAMA RA
UA001|ALMORA
RJ002|ALWAR
HR001|AMBALA
UP004|AMBEDKARNAGAR
UP074|AMETHI/CSM NAGAR
MH003|AMRAVATI
GJ002|AMRELI
PB001|AMRITSAR
UP038|AMROHA
AP025|ANAKAPALLI
GJ003|ANAND
AP002|ANANTAPUR
JK001|ANANTNAG
OR001|ANGUL
AR016|ANJAW
AP035|ANNAMAYA
MP047|ANUPUR
BR001|ARARIA
GJ027|ARAVALLI
TN041|ARIYALUR
BR039|ARWAL
MP048|ASHOKNAGAR
UP005|AURAIYA
BR002|AURANGABAD
MH004|AURANGABAD
UP006|AZAMGARH
JK004|BADGAM
MP001|BADWANI
KA001|BAGALKOT
UA002|BAGESHWAR
UP007|BAGHPAT
UP008|BAHRAICH
AS036|BAJALI
AS026|BAKSA
MP002|BALAGHAT
OR003|BALESHWAR
UP009|BALLIA
CT024|BALOD
CT021|BALODABAZAR
CT027|BALRAMPUR
UP010|BALRAMPUR
GJ004|BANAS KANTHA
UP011|BANDA
JK020|BANDIPORA
KA002|BANGALORE
KA027|BANGALORE RURAL
BR003|BANKA
WB001|BANKURA
RJ003|BANSWARA
AP031|BAPATLA
UP012|BARABANKI
JK003|BARAMULLAH
RJ004|BARAN
UP013|BAREILLY
OR004|BARGARH
RJ005|BARMER
PB020|BARNALA
AS001|BARPETA
CT001|BASTAR
UP014|BASTI
PB002|BATHINDA
BR004|BEGUSARAI
KA003|BELGAUM
KA004|BELLARY
CT023|BEMETARA
MP003|BETUL
UP062|BHADOHI
TG020|BHADRADRI KOTHAGUDEM
OR006|BHADRAK
BR006|BHAGALPUR
MH005|BHANDARA
RJ006|BHARATPUR
GJ005|BHARUCH
GJ006|BHAVNAGAR
RJ007|BHILWARA
MP004|BHIND
HR006|BHIWANI
BR007|BHOJPUR
MP005|BHOPAL
MH006|BID
KA005|BIDAR
CT017|BIJAPUR
KA006|BIJAPUR
UP015|BIJNOR
RJ008|BIKANER
CT002|BILASPUR
HP001|BILASPUR
WB003|BIRBHUM
MN001|BISHNUPUR
JH001|BOKARO
OR002|BOLANGIR
AS024|BONGAIGAON
GJ029|BOTAD
OR005|BOUDH
UP016|BUDAUN
UP017|BULANDSHAHR
MH007|BULDHANA
RJ009|BUNDI
MP046|BURHANPUR
BR008|BUXAR
AS032|Biswanath
AS003|CACHAR
HP002|CHAMBA
UA003|CHAMOLI
UA004|CHAMPAWAT
MZ007|CHAMPHAI
KA007|CHAMRAJNAGAR
UP018|CHANDAULI
MN002|CHANDEL
CH001|CHANDIGARH
MH008|CHANDRAPUR
AR001|CHANGLANG
HR022|CHARKI DADRI
JH002|CHATRA
TN043|CHENGALPATTU
TN001|CHENNAI
MP006|CHHATARPUR
MP007|CHHINDWARE
GJ030|CHHOTAUDEPUR
KA028|CHIKKABALLAPURA
KA008|CHIKMAGALUR
AS002|CHIRANG
KA009|CHITRADURGA
UP019|CHITRAKUT
RJ010|CHITTAURGARH
AP003|CHITTOOR
NL015|CHUMOUKEDIMA
MN003|CHURACHANDPUR
RJ011|CHURU
TN002|COIMBATORE
WB005|COOCH BIHAR
TN003|CUDDALORE
AP004|CUDDAPAH
OR007|CUTTACK
DL005|Central Delhi
AS030|Charaideo
GJ007|DAHOD
WB006|DAKSHIN DINAJPUR
KA010|DAKSHIN KANNAD
DD001|DAMAN
MP008|DAMOH
CT003|DANTEWADA
BR009|DARBHANGA
WB007|DARJEELING
AS004|DARRANG
MP009|DATIA
RJ012|DAUSA
KA011|DAVANGERE
UA005|DEHRADUN
OR008|DEOGARH
JH003|DEOGHAR
UP020|DEORIA
GJ033|DEVBHUMI DWARKA
MP010|DEWAS
TR004|DHALAI
CT004|DHAMTARI
JH004|DHANBAD
MP011|DHAR
TN004|DHARMAPURI
KA012|DHARWAD
RJ013|DHAULPUR
AS005|DHEMAJI
OR009|DHENKANAL
AS006|DHUBURI
MH010|DHULE
AR002|DIBANG VALLEY
AS007|DIBRUGARH
AS020|DIMA HASAO
NL008|DIMAPUR
TN005|DINDIGUL
MP012|DINDORI
DD002|DIU
JK012|DODA
JH005|DUMKA
RJ014|DUNGARPUR
CT005|DURG
DL011|Delhi Shahdara
BR026|EAST CHAMPARAN
ML001|EAST GARO HILLS
AP005|EAST GODAVARI
MN009|EAST IMPHAL
ML008|EAST JAINTIA HILLS
AR003|EAST KHAMENG
ML002|EAST KHASI HILLS
AR004|EAST SIANG
JH006|EAST SINGHBHUM
AP029|ELURU
KL002|ERNAKULAM
TN006|ERODE
UP021|ETAH
UP022|ETAWAH
DL004|East Delhi
UP023|FAIZABAD
HR016|FARIDABAD
PB003|FARIDKOT
UP024|FARRUKKHABAD
HR011|FATEHABAD
PB004|FATEHGARH SAHIB
UP025|FATEHPUR
PB022|FAZILKA
UP026|FIROZABAD
PB005|FIROZPUR
KA013|GADAG
MH011|GADCHIROLI
OR010|GAJAPATI
JK022|GANDERBAL
GJ008|GANDHI NAGAR
RJ015|GANGANAGAR
SK001|GANGTOK
OR011|GANJAM
JH007|GARHWA
CT022|GARIYABAND
CT028|GAURELA PENDRA MARWA
UP027|GAUTAM BUDH NAGAR
BR010|GAYA
UP028|GHAZIABAD
UP029|GHAZIPUR
GJ028|GIR SOMNATH
JH008|GIRIDIH
AS008|GOALPARA
JH009|GODDA
AS009|GOLAGHAT
TR007|GOMATI
UP030|GONDA
MH033|GONDIA
BR011|GOPALGANJ
UP031|GORAKHPUR
MH012|GREATER MUMBAI
KA014|GULBARGA
JH010|GUMLA
MP014|GUNA
AP006|GUNTUR
PB006|GURDASPUR
HR002|GURGAON
MP015|GWALIOR
SK004|GYALSHING
AS010|HAILAKANDI
HP003|HAMIRPUR
UP032|HAMIRPUR
RJ016|HANUMANGARH
UP077|HAPUR
MP016|HARDA
UP033|HARDOI
UA006|HARIDWAR
KA015|HASSAN
UP034|HATHRAS
KA016|HAVERI
JH011|HAZARIBAGH
MH034|HINGOLI
HR007|HISAR
MZ009|HNAHTHIAL
WB008|HOOGHLY
MP017|HOSHANGABAD
PB007|HOSHIARPUR
WB009|HOWRAH
TG010|HYDERABAD
AS028|Hojai
KL003|IDUKKI
MP018|INDORE
MP019|JABALPUR
OR012|JAGATSINGHPUR
TG013|JAGITIAL
BR012|JAHANABAD
MP020|JAHBUA
